UU	UM	MU	MM
1	0.471547716129687	2.15620055547935e-10	0.528452283413052	2.41640255707691e-10
2	0.972873178220953	0.00182313097405397	0.0252563612501053	4.7329554887272e-05
3	0.999999999981974	1.78571979475762e-14	1.80077799498851e-11	3.21568491167289e-25
4	0.658243460438155	4.73685389585884e-05	0.341684582704976	2.45883179099663e-05
5	1	1.22810339890531e-64	1.80172587235164e-40	2.2127056677307e-104
6	1	7.48992956890748e-106	1.76394995739856e-53	1.32118609439926e-158
7	1	9.41372196258548e-73	1.67341351043646e-40	1.57530495156829e-112
8	1	3.53715036187311e-84	5.03116497009775e-51	1.77959869946245e-134
9	0.40528088426398	1.58890186781539e-13	0.594719115735628	2.33159359473358e-13
10	0.00273991828162915	0.00274906144563856	0.496427216189283	0.498083804083449
11	1	2.89211329094728e-39	1.21279657714851e-48	3.50754509998657e-87
12	1	1.08992820153178e-44	1.91894492378425e-25	2.09151218961871e-69
13	1	7.26160664819983e-116	6.87614767442648e-93	4.99318796666191e-208
14	1	7.37488458471184e-120	1.07361689679617e-130	7.91780070206823e-250
15	0.999999999356205	2.7542083275745e-20	6.43795177512598e-10	1.77314604029904e-29
16	0.999999960550424	3.94495758253444e-08	2.9209190603457e-21	1.15229022496537e-28
17	0.998101352479833	7.11357519915777e-05	0.00182738152873777	1.30239438008283e-07
18	3.5631427499281e-15	5.28884712740832e-08	6.73708699758339e-08	0.999999879740655
19	8.43235054403127e-14	1.47756294293444e-07	5.70692742812688e-07	0.999999281550879
20	2.95688136027003e-16	5.8443743167513e-09	5.05936312962442e-08	0.999999943561994
21	0.757720786004319	1.87182956127315e-06	0.242276743659678	5.98506440852209e-07
22	0.00163575736407734	5.42878123690844e-05	0.966242135413184	0.0320678194103696
23	1.08217872599938e-15	9.79544982868618e-09	1.10477682471832e-07	0.999999879726867
24	4.36990764857654e-14	1.15952880777764e-07	3.7686907523801e-07	0.999999507178
25	1	3.15883833660434e-120	2.78712751740802e-91	8.80408525099336e-211
26	0.997999476511256	3.88362497120924e-26	0.00200052348874358	7.78485676519048e-29
27	0.440413354116008	2.93125905509413e-07	0.559585980314459	3.72443627462854e-07
28	0.999999998983204	1.1628130343704e-32	1.01679596748188e-09	1.1823436054854e-41
29	0.999999999570611	2.40503738154127e-23	4.29388749049261e-10	1.03269599312014e-32
30	1	3.28669573587523e-61	5.7616166263998e-51	1.89366807977361e-111
31	1	4.20593332975529e-79	5.95484415208812e-94	2.50456774927658e-172
32	0.999662869674621	2.0533132377242e-12	0.000337130323324602	6.92467607550492e-16
33	0.999864409507757	9.20893301216458e-05	4.349715595403e-05	4.00616715217955e-09
34	4.17328672995608e-13	1.66353321727945e-06	2.50868374448969e-07	0.999998085597991
35	1.22511853529975e-15	2.98236674343795e-07	4.10787227153551e-09	0.999999697655452
36	6.53356796451851e-08	0.00853425731239885	7.59030171999021e-06	0.991458087050202
37	1	6.31939739204695e-20	1.25800864432833e-32	7.94985654614096e-52
38	0.999999999999998	2.26710100440004e-15	6.36528851347133e-20	1.44307519821869e-34
39	1	2.24083505181683e-26	4.82914473971946e-26	1.08213168030603e-51
40	1	2.7700831024996e-139	2.77008310712879e-139	7.67336040757705e-278
41	1	2.45911647210974e-34	1.11870006051424e-20	2.75101374616073e-54
42	1	1.56661984210774e-23	1.13611579370871e-36	1.77986154535606e-59
43	2.13846163369327e-11	1.57774357801538e-06	1.35537187753015e-05	0.999984868516262
44	8.59759250956261e-06	7.88068816055385e-06	0.521744410605393	0.478239111113937
45	4.18470307752408e-09	1.09874359339861e-05	0.000380713383315355	0.999608294996048
46	4.08686890414273e-12	1.37873375768906e-06	2.96420620174692e-06	0.999995657055954
