UU	UM	MU	MM
1	0.999999938784658	7.97033508522417e-14	6.12152624565969e-08	4.87906183976364e-21
2	0.994452944266262	0.00275475138940476	0.00278459070122159	7.71364311136262e-06
3	1	1.06595091583292e-27	8.87457189227434e-27	9.45985803619493e-54
4	0.986317723018645	0.00684687716693533	0.006788276565255	4.71232491648211e-05
5	0.981723009106622	0.0091629214213427	0.00902978983920609	8.42796328296081e-05
6	0.986145962183846	0.00701505857091329	0.00679067304013584	4.83062051047509e-05
7	0.99998621044238	1.37850971086482e-05	4.46044988433909e-09	6.1488582704227e-14
8	0.999417136690176	2.77825328419421e-13	0.000582863309546127	1.62028630942401e-16
9	0.974391198915539	0.0256088010844374	2.30923382156815e-14	6.06909315886791e-16
10	1	9.82028595730098e-32	1.85922251876647e-41	1.82580967925401e-72
11	1	7.97247808189752e-17	2.84802144055807e-32	2.27057885116234e-48
12	1	1.08643450652305e-37	5.83908593709985e-24	6.34378444861877e-61
13	0.999999999999999	5.25454255914082e-16	1.38669325268029e-18	7.28643871268201e-34
14	0.999999999999996	3.67710349093233e-15	1.09981852371476e-35	4.04414653294359e-50
15	0.999799226963833	4.04255810935141e-09	0.000200768992797324	8.11783304137819e-13
16	1	6.81999014529427e-51	2.02644545860608e-31	1.38203380576698e-81
17	1	1.4147112575856e-42	5.78812541748055e-39	8.1885261884271e-81
18	1	5.0316164121159e-37	3.92573997856535e-18	1.97528177058489e-54
19	1	3.59552835135117e-47	3.24716903253736e-53	1.16752883181176e-99
20	1	5.12032654979285e-38	2.23143749961716e-24	1.14256886734931e-61
21	1	1.40716795357991e-45	2.02622767161587e-21	2.85124264615468e-66
22	1	4.1003748379854e-83	3.2919073253447e-80	1.34980539658232e-162
23	1	4.4845527187084e-32	1.1714453047653e-29	5.25340822630341e-61
24	0.64339369019023	0.0217100302811976	0.323964738859288	0.0109315406692843
25	0.999999999990648	9.23736878856746e-12	1.146364161358e-13	1.05893885245598e-24
26	0.998362663532177	0.00163733646782324	7.18876503628875e-24	1.17897309088912e-26
27	0.997894828836279	0.00207710317155688	2.80096904124171e-05	5.8301751956972e-08
28	1	8.85739139454725e-82	6.1517557977258e-26	5.44885088641327e-107
