UU	UM	MU	MM
1	0.999999999999911	4.45157935002238e-14	4.45157935002238e-14	1.98165587095475e-27
2	1	7.23195270451168e-22	7.23195270451168e-22	5.23011399202939e-43
3	1	4.43953650224461e-17	4.43953650224461e-17	1.97094843547623e-33
4	1	1.88004223755869e-38	1.88004223755869e-38	3.53455881500468e-76
5	0.999999999961295	1.93526801751992e-11	1.93526801751992e-11	3.74526229978043e-22
6	1	3.11647887517056e-21	3.11647887517056e-21	9.71244057938439e-42
7	5.84320206594218e-09	7.64349970990596e-05	7.64349970990596e-05	0.9998471241626
8	3.88193423239062e-19	6.23051701510663e-10	6.23051701510663e-10	0.999999998753897
9	1.03057321416415e-13	3.21025318703035e-07	3.21025318703035e-07	0.99999935794926
10	4.67509929879712e-06	0.00215752269433552	0.00215752269433552	0.99568027951203
11	0.972363158011483	0.0137216040711095	0.0137216040711095	0.000193633846298058
12	0.917133420151344	0.0405374106414417	0.0405374106414417	0.00179175856577301
13	9.11594015372691e-08	0.000301834993055101	0.000301834993055101	0.999396238854488
14	1	1.54233429616972e-16	1.54233429616972e-16	2.37879508114136e-32
15	0.974762782895832	0.0125379731536262	0.0125379731536262	0.000161270796915368
16	0.614559806984822	0.169378843028571	0.169378843028571	0.0466825069580347
17	0.999981111550079	9.44418036336798e-06	9.44418036336798e-06	8.91942274765243e-11
18	1.77187829430643e-16	1.33111917089899e-08	1.33111917089899e-08	0.999999973377616
19	0.540401379762521	0.194718596678414	0.194718596678414	0.0701614268806509
20	0.999999999999993	3.59634423190211e-15	3.59634423190211e-15	1.29336918343357e-29
21	1.25782682534927e-17	3.54658542323076e-09	3.54658542323076e-09	0.999999992906829
22	3.07927253674337e-21	5.54911933229195e-11	5.54911933229195e-11	0.999999999889018
23	3.37568910025667e-20	1.83730484651193e-10	1.83730484651193e-10	0.999999999632539
24	1.58170741852153e-31	3.97706854167933e-16	3.97706854167933e-16	0.999999999999999
25	9.77173681002627e-18	3.12597772687743e-09	3.12597772687743e-09	0.999999993748044
26	0.0195510722090082	0.120274076491103	0.120274076491103	0.739900774808786
27	1	5.31435894873429e-17	5.31435894873429e-17	2.82424110359922e-33
28	1	3.31774348809473e-24	3.31774348809473e-24	1.1007421852795e-47
29	0.462819395356041	0.217488913689234	0.217488913689234	0.102202777265492
30	0.857751069920211	0.0683974440451309	0.0683974440451309	0.00545404198952732
31	0.999999999999974	1.29310510713809e-14	1.29310510713809e-14	1.67212081810665e-28
32	1	1.90116949655644e-28	1.90116949655644e-28	3.61444545463665e-56
33	0.999999999999234	3.82789026301324e-13	3.82789026301324e-13	1.46527438656828e-25
34	0.999999999999996	2.13816019456691e-15	2.13816019456691e-15	4.57172901763045e-30
35	5.88125936321558e-10	2.42507198041848e-05	2.42507198041848e-05	0.999951497972266
36	0.0169666434397169	0.113289425285379	0.113289425285379	0.756454505989525
37	0.994172864714442	0.00290931079289401	0.00290931079289401	8.51369976998993e-06
38	2.30284139563956e-24	1.51751158006539e-12	1.51751158006539e-12	0.999999999996965
39	4.25809836074089e-27	6.52541060833748e-14	6.52541060833748e-14	0.999999999999869
40	7.83491153809396e-13	8.85149573120307e-07	8.85149573120307e-07	0.99999822970007
41	3.02477224181802e-16	1.73918720573868e-08	1.73918720573868e-08	0.999999965216256
42	2.97898110968839e-19	5.45800431150117e-10	5.45800431150117e-10	0.999999998908399
43	0.906126157865939	0.0457804330692952	0.0457804330692952	0.00231297599547093
44	0.7014469206939	0.136077359965413	0.136077359965413	0.0263983593752736
45	7.96560270916577e-13	8.92501456051214e-07	8.92501456051214e-07	0.999998214996291
46	0.521979824582393	0.200501887699927	0.200501887699927	0.0770164000177533
47	4.60141570735677e-25	6.78337357614228e-13	6.78337357614228e-13	0.999999999998643
48	0.000384783739620725	0.019231121531886	0.019231121531886	0.961152973196607
49	7.59530723402056e-29	8.71510598559791e-15	8.71510598559791e-15	0.999999999999983
50	1.0781667716523e-20	1.0383480974261e-10	1.0383480974261e-10	0.99999999979233
51	1.0167986234772e-24	1.00836433072335e-12	1.00836433072335e-12	0.999999999997983
52	4.94100792429168e-25	7.02923034498424e-13	7.02923034498424e-13	0.999999999998594
53	6.40626273799937e-19	8.00391324774597e-10	8.00391324774597e-10	0.999999998399217
54	1	1.16640898481017e-25	1.16640898481017e-25	1.3605099198459e-50
55	1	7.81643505652832e-26	7.81643505652832e-26	6.10966569929249e-51
56	0.999999998705875	6.47062712384951e-10	6.47062712384951e-10	4.18690154300807e-19
57	7.95163485968047e-17	8.91719390720417e-09	8.91719390720417e-09	0.999999982165612
58	8.67749673766328e-17	9.31530814090236e-09	9.31530814090236e-09	0.999999981369384
59	2.42804361989705e-21	4.92751825938551e-11	4.92751825938551e-11	0.99999999990145
60	3.6025364940763e-18	1.89803489967936e-09	1.89803489967936e-09	0.99999999620393
61	0.206927876996622	0.24796538190773	0.24796538190773	0.297141359187918
62	4.82002665428161e-11	6.94259297891131e-06	6.94259297891131e-06	0.999986114765842
63	1.59962108129968e-15	3.99952616361633e-08	3.99952616361633e-08	0.999999920009475
64	2.30686554658919e-28	1.51883690585564e-14	1.51883690585564e-14	0.99999999999997
65	0.999897776645787	5.11103708380101e-05	5.11103708380101e-05	2.61253706950116e-09
66	1.11843175070318e-26	1.05755933672912e-13	1.05755933672912e-13	0.999999999999789
67	0.99999970586532	1.47067328913698e-07	1.47067328913698e-07	2.16288055955915e-14
68	1	3.6101738422736e-27	3.6101738422736e-27	1.30333551714366e-53
69	0.999999149593832	4.25202993718492e-07	4.25202993718492e-07	1.80797739618681e-13
70	1.61983164583772e-27	4.02471321442608e-14	4.02471321442608e-14	0.99999999999992
71	2.44461075206122e-10	1.56350065828359e-05	1.56350065828359e-05	0.999968729742373
72	1	4.0067721965663e-35	4.0067721965663e-35	1.60542234351767e-69
73	1	2.86782742604832e-26	2.86782742604832e-26	8.22443414559495e-52
74	0.999999999981094	9.45302065002775e-12	9.45302065002775e-12	8.93595994115406e-23
75	1.84586443242045e-22	1.35862593541059e-11	1.35862593541059e-11	0.999999999972827
76	0.99978960470853	0.000105192111880595	0.000105192111880595	1.10677089957598e-08
77	1.23536197728087e-06	0.00111023302591365	0.00111023302591365	0.997778298586195
78	0.999999999299238	3.5038104233474e-10	3.5038104233474e-10	1.22766874913609e-19
79	2.13597040480784e-17	4.62165596411546e-09	4.62165596411546e-09	0.999999990756688
80	1	2.94422065316347e-85	2.94422065316347e-85	8.66843525451436e-170
81	1	1.20277891407424e-54	1.20277891407424e-54	1.4466771161416e-108
82	1	3.26739177164479e-50	3.26739177164479e-50	1.06758489894121e-99
83	3.06856633280578e-23	5.53946417334004e-12	5.53946417334004e-12	0.999999999988921
84	0.00121268249446349	0.0336109085676812	0.0336109085676812	0.931565500370174
85	1	2.54767734302375e-24	2.54767734302375e-24	6.49065984415655e-48
86	1	5.5103275391784e-80	5.5103275391784e-80	3.03637095890279e-159
87	1	7.26743771844208e-93	7.26743771844208e-93	5.28156509914347e-185
88	1	3.17283985205576e-91	3.17283985205576e-91	1.00669127267932e-181
89	1	6.77374340327049e-63	6.77374340327049e-63	4.58835996933506e-125
90	1	1.22524534897022e-65	1.22524534897022e-65	1.50122616517316e-130
91	7.57565907005679e-11	8.70375045379332e-06	8.70375045379332e-06	0.999982592423336
92	1	7.04143058578183e-19	7.04143058578183e-19	4.95817446943838e-37
93	1	1.59309673952805e-80	1.59309673952805e-80	2.53795722149491e-160
94	1	2.62120871637999e-95	2.62120871637999e-95	6.87073513482645e-190
95	1	1.33199426248648e-84	1.33199426248648e-84	1.77420871529691e-168
96	1	1.79994158217717e-92	1.79994158217717e-92	3.23978969925046e-184
97	1	2.81320824414601e-53	2.81320824414601e-53	7.91414062493108e-106
98	0.999995396877815	2.30155844370722e-06	2.30155844370722e-06	5.29719565343883e-12
99	0.999999999999996	2.03500633934012e-15	2.03500633934012e-15	4.1412508011545e-30
100	0.999948985702456	2.55068234562721e-05	2.55068234562721e-05	6.50631234324811e-10
101	3.72592861959101e-07	0.000610031258665127	0.000610031258665127	0.998779564889808
102	1.3756861192537e-31	3.70902429117645e-16	3.70902429117645e-16	0.999999999999999
103	8.22048872716377e-34	2.86713946768618e-17	2.86713946768618e-17	1
104	5.14609108199747e-19	7.17362605285098e-10	7.17362605285098e-10	0.999999998565275
105	1	5.36871595549018e-43	5.36871595549018e-43	2.88231110107348e-85
106	1	4.81205033762451e-17	4.81205033762451e-17	2.31558284518322e-33
107	1	3.78946123421145e-24	3.78946123421145e-24	1.43600164455914e-47
108	0.999999999930616	3.4691843025249e-11	3.4691843025249e-11	1.20352397257202e-21
109	1	2.5158285559469e-30	2.5158285559469e-30	6.32939332291789e-60
110	1	8.65235374302012e-32	8.65235374302012e-32	7.48632252943543e-63
111	0.999985554595545	7.22267614366505e-06	7.22267614366505e-06	5.21678042613004e-11
112	1	2.41475764042052e-77	2.41475764042052e-77	5.83105446196926e-154
113	1	1.45750809979805e-63	1.45750809979805e-63	2.12432986097693e-126
114	1	2.23142481366195e-102	2.23142481366195e-102	4.97925669902629e-204
115	1	7.18882882769273e-94	7.18882882769273e-94	5.16792599138661e-187
116	1	1.20001636702345e-53	1.20001636702345e-53	1.44003928112417e-106
117	1	3.27224919938795e-34	3.27224919938795e-34	1.07076148228951e-67
118	1	5.45294235011633e-31	5.45294235011633e-31	2.97345802736922e-61
119	1	8.26155515604516e-85	8.26155515604516e-85	6.82532935963762e-169
120	1	1.30375801085431e-102	1.30375801085431e-102	1.6997849508668e-204
121	1	3.74542639650981e-112	3.74542639650981e-112	1.40282188916725e-223
122	1	2.02265753731952e-54	2.02265753731952e-54	4.09114351327549e-108
123	0.999999999893331	5.33345848641673e-11	5.33345848641673e-11	2.8445779429365e-21
124	1	1.33324245475746e-59	1.33324245475746e-59	1.77753544316769e-118
125	1	2.07441177259986e-28	2.07441177259986e-28	4.30318420230088e-56
126	1	8.51694738420958e-63	8.51694738420958e-63	7.25383927453944e-125
127	1	3.57045498810194e-42	3.57045498810194e-42	1.2748148822062e-83
128	1.99086522556747e-17	4.4619112584198e-09	4.4619112584198e-09	0.999999991076177
129	0.999532006943692	0.000233969144558428	0.000233969144558428	5.47671912706308e-08
130	0.999999998801847	5.99076304275505e-10	5.99076304275505e-10	3.58892418774404e-19
131	1	4.04308856654559e-19	4.04308856654559e-19	1.63465651569317e-37
132	1	3.22533815151294e-33	3.22533815151294e-33	1.04028061916049e-65
133	3.06150738387287e-17	5.53308896548183e-09	5.53308896548183e-09	0.999999988933822
134	3.9507384219668e-32	1.98764645296059e-16	1.98764645296059e-16	1
135	1.26411955442938e-33	3.55544589950316e-17	3.55544589950316e-17	1
136	8.39516866285457e-11	9.16243134863052e-06	9.16243134863052e-06	0.999981675053351
137	1.8798703088466e-14	1.37108343778005e-07	1.37108343778005e-07	0.999999725783294
138	1.46288897952435e-22	1.20949947477829e-11	1.20949947477829e-11	0.99999999997581
139	1	1.30454675672059e-40	1.30454675672059e-40	1.7018422404702e-80
140	1	6.85833596146943e-93	6.85833596146943e-93	4.70367721603848e-185
141	1	1.13563928586495e-95	1.13563928586495e-95	1.28967658759984e-190
142	1	1.20650206664737e-75	1.20650206664737e-75	1.45564723682438e-150
143	0.999988033318829	5.98332268534801e-06	5.98332268534801e-06	3.5800578771112e-11
144	8.67434922957024e-16	2.94522473142748e-08	2.94522473142748e-08	0.999999941095504
145	1	6.47867110528526e-40	6.47867110528526e-40	4.19731792904581e-79
146	8.53753972381805e-24	2.92190686432134e-12	2.92190686432134e-12	0.999999999994156
147	0.000130258221170836	0.011282814159693	0.011282814159693	0.977304113459443
148	1	1.57984898815109e-35	1.57984898815109e-35	2.49592282536202e-70
149	1	7.02629605484401e-36	7.02629605484401e-36	4.93688362503163e-71
150	1	7.94452289521018e-87	7.94452289521018e-87	6.31154440325187e-173
151	1	1.30202424018455e-45	1.30202424018455e-45	1.69526712202816e-90
152	1	4.64913126782812e-29	4.64913126782812e-29	2.16144215454972e-57
153	0.999999999999966	1.70109814825572e-14	1.70109814825572e-14	2.89373490999912e-28
154	1	2.0012233157811e-18	2.0012233157811e-18	4.00489475962589e-36
155	2.71194917340107e-15	5.20763755549875e-08	5.20763755549875e-08	0.999999895847246
156	1	4.82149793298525e-36	4.82149793298525e-36	2.32468423177811e-71
157	1	2.57692584942132e-56	2.57692584942132e-56	6.64054683341579e-112
158	0.999999999908382	4.58092634517994e-11	4.58092634517994e-11	2.09848861818863e-21
159	1	1.8426085001951e-68	1.8426085001951e-68	3.39520608499124e-136
160	1	1.0064001059859e-65	1.0064001059859e-65	1.01284117332844e-130
161	1	2.3412991077514e-16	2.3412991077514e-16	5.48168151195748e-32
162	1	3.85246478863889e-74	3.85246478863889e-74	1.48414849477025e-147
163	1	3.22139612343778e-80	3.22139612343778e-80	1.03773929840999e-159
164	1	6.60068592514877e-71	6.60068592514877e-71	4.3569054682457e-141
165	1	1.8728168687086e-40	1.8728168687086e-40	3.50744302371949e-80
166	1	4.57095098695923e-50	4.57095098695923e-50	2.08935929251835e-99
167	1.42032800407835e-22	1.19177514827441e-11	1.19177514827441e-11	0.999999999976165
168	2.78005802195984e-19	5.27262554997811e-10	5.27262554997811e-10	0.999999998945475
169	0.998566120448555	0.000716682589981783	0.000716682589981783	5.14371481532212e-07
170	1	1.21120036626471e-23	1.21120036626471e-23	1.46700632723977e-46
171	0.999999999999997	1.49715651136665e-15	1.49715651136665e-15	2.24147761952755e-30
172	1.01435978512845e-15	3.18490144355478e-08	3.18490144355478e-08	0.99999993630197
173	1	7.00327196035937e-105	7.00327196035937e-105	4.90458181507557e-209
174	1	3.85067038525548e-46	3.85067038525548e-46	1.48276624158836e-91
175	0.000212612416850984	0.0143686226766171	0.0143686226766171	0.971050142229915
176	1	7.03635083135311e-35	7.03635083135311e-35	4.95102330218835e-69
177	6.9105390935082e-23	8.3129652311274e-12	8.3129652311274e-12	0.999999999983374
178	2.79529623363536e-34	1.67191394325048e-17	1.67191394325048e-17	1
179	3.29384415662884e-37	5.73920217158173e-19	5.73920217158173e-19	1
180	8.15740758690242e-34	2.85611757231778e-17	2.85611757231778e-17	1
181	0.99999998631282	6.84358977748325e-09	6.84358977748325e-09	4.68347216835085e-17
182	1	1.90517407847874e-57	1.90517407847874e-57	3.62968826930734e-114
183	1	9.33572190632047e-61	9.33572190632047e-61	8.7155703512152e-121
184	1	6.12605486378766e-98	6.12605486378766e-98	3.75285481941365e-195
185	1	1.34326796338622e-83	1.34326796338622e-83	1.80436882145977e-166
186	0.999999695459876	1.52270050449796e-07	1.52270050449796e-07	2.3186175325104e-14
187	1.50856157711400e-13	3.88401905924442e-07	3.88401905924442e-07	0.999999223196037
188	1	6.07361002048401e-68	6.07361002048401e-68	3.68887386809238e-135
189	1	1.30986228456494e-16	1.30986228456494e-16	1.7157392045257e-32
190	1	6.4310552067751e-41	6.4310552067751e-41	4.13584710725891e-81
191	1	1.3764540917618e-61	1.3764540917618e-61	1.89462586672781e-122
192	1	1.23870120674924e-50	1.23870120674924e-50	1.53438067960202e-100
193	1	2.69992249670972e-95	2.69992249670972e-95	7.28958148823926e-190
194	1	2.67798373846594e-38	2.67798373846594e-38	7.17159690348804e-76
195	1	2.35881000158421e-32	2.35881000158421e-32	5.56398462357368e-64
196	0.999999999999998	9.96603323651067e-16	9.96603323651067e-16	9.93218184712356e-31
197	7.31579833681884e-05	0.00848008604262501	0.00848008604262501	0.982966669931382
198	1	2.87084656196565e-38	2.87084656196565e-38	8.24175998235002e-76
199	1	8.10382525346041e-110	8.10382525346041e-110	6.56719837386227e-219
200	1	8.42187395341872e-58	8.42187395341872e-58	7.09279608872726e-115
201	1	7.00432686514115e-63	7.00432686514115e-63	4.90605948337381e-125
202	1	7.36688661936336e-74	7.36688661936336e-74	5.42710184625548e-147
203	1	4.65835147764245e-71	4.65835147764245e-71	2.17002384892536e-141
204	1	3.44917740834236e-37	3.44917740834236e-37	1.18968247942193e-73
205	1	8.17719126255584e-82	8.17719126255584e-82	6.68664569444195e-163
206	1	7.29799961548687e-90	7.29799961548687e-90	5.32607983876465e-179
207	1	3.65784984169747e-75	3.65784984169747e-75	1.33798654644062e-149
208	1	4.18936823392007e-45	4.18936823392007e-45	1.75508061993785e-89
209	0.999999999997991	1.00433354171926e-12	1.00433354171926e-12	1.00868586302438e-24
