	C1	C2	T1	T2
1	0	0	0	0
2	1.063068449	0.944413286	0.671148738	0.931082501
3	0.506731217	0.328076116	0.227172955	0.360196977
4	0.074055248	0.166403915	0.1052955	0.076525384
5	0.489360461	0.090188997	0.062206813	0.090840442
6	0.102512508	0.185864347	0.1157153	0.210049196
7	0.046780515	0.060651758	0.082988173	0.076706303
8	0.035018298	0.055742975	0.051547463	0.06778723
9	0.01877436	0.0217295	0.035228339	0.032703143
10	0.031870154	0.048979656	0.027300259	0.028312742
11	0.046090925	0.066658092	0.023980363	0.039477323
12	0.025085573	0.033679274	0.034984434	0.055039535
13	0.111414971	0.145747641	0.100494158	0.1647703
14	0.053629314	0.064808641	0.084471681	0.127193333
15	0.010555932	0.013480025	0.03383303	0.041982847
16	0.068177484	0.103096275	0.047278663	0.087453726
17	0.021802912	0.024032068	0.015245516	0.032326907
18	0.013813536	0.018420837	0.010242414	0.014754019
19	0.142572982	0.126267528	0.038505747	0.038430687
20	0.009741307	0.004730336	0.002053134	0.001392496
21	0.180055338	0.155698628	0.037118972	0.029565818
22	0.006185696	0.006692909	0.004208494	0.005666593
23	0.013334597	0.003879055	0.002712139	0.003262137
24	0.02797769	0.020497609	0.006833337	0.009778018
25	0.09783414	0.06122979	0.030247222	0.024965297
26	0.004443337	0.007586047	0.032233396	0.01003118
27	0.006374094	0.011074138	0.006978717	0.004629013
28	0.009475916	0.010155242	0.005243714	0.007177079
29	0.007360294	0.005038478	0.005907022	0.005405077
30	0.006236734	0.005631493	0.005294274	0.005796885
31	0.005009863	0.005479694	0.009458748	0.009266947
32	0.001951479	0.00237648	0.008769391	0.006656564
33	0.009429081	0.01386226	0.00743545	0.009742423
34	0.005436091	0.004335379	0.003311131	0.004649579
35	0.015057627	0.010829371	0.002568711	0.005830987
36	0.030584608	0.025534378	0.00840233	0.017876169
37	0.014448371	0.015371195	0.005602434	0.01245645
38	0.001950127	0.002902099	0.00261945	0.005200845
39	0.010218357	0.01093076	0.007224527	0.014948461
40	0.006162586	0.005294281	0.004559833	0.009538667
41	0.010610789	0.009879068	0.030622655	0.061300009
42	0.023983861	0.023255246	0.020461378	0.030085704
43	0.002973437	0.00170716	0.003501869	0.004341582
44	0.006382351	0.006759097	0.001182369	0.002308813
45	0.006682753	0.005262042	0.002432997	0.003599822
46	0.008131148	0.00429688	0.002436922	0.002947635
47	0.007299249	0.004865067	0.002984972	0.002031845
48	0.065022729	0.041436318	0.012343711	0.006952587
49	0.001749697	0.001961661	0.000647731	0.00100021
50	0.002686547	0.001938252	0.000920506	0.001097527
51	0.001546922	0.00260941	0.002972205	0.002469901
52	0.001817946	0.001004038	0.001704677	0.00110733
53	0.005677476	0.003807653	0.00248601	0.002181504
54	0.001165326	0.000922166	0.000749942	0.001312682
55	0.000795724	0.000882916	0.000466869	0.000892884
56	0.000988883	0.001379937	0.000797643	0.001198269
57	0.001104074	0.00132059	0.000515004	0.000543092
58	0.002435128	0.002519708	0.000943089	0.001071073
59	0.001775544	0.001125278	0.000281789	0.000375493
60	0.00113759	0.000800431	0.000306215	0.000305898
61	0.006439935	0.004778479	0.001661773	0.001249738
62	0.000593829	0.00085253	0.001097924	0.001400374
63	0.00116724	0.000984138	0.000682483	0.000817322
64	0.001738445	0.001455037	0.000620972	0.000678299
65	0.005341193	0.004345027	0.001300299	0.001216577
66	0.000531952	0.000639095	0.000437199	0.000538853
67	0.001062841	0.000995187	0.000679399	0.001448501
68	0.001781097	0.001443627	0.000836073	0.0009509
69	0.001343596	0.000936491	0.000895478	0.00101869
70	0.004240965	0.003619657	0.002267313	0.002813519
71	0.000358012	0.00044758	0.001083663	0.001575644
72	0.00103534	0.001173439	0.003139905	0.006476433
73	0.002029151	0.001320598	0.003457624	0.006834277
74	0.002698809	0.001318754	0.002494535	0.005104324
75	0.004683532	0.003497553	0.001599864	0.002838993
76	0.005864079	0.003815253	0.004438223	0.005167206
77	0.000945625	0.001123008	0.005174993	0.004585373
78	0.000759679	0.001048204	0.005859336	0.005192375
79	0.001868115	0.002311411	0.007556563	0.006958626
80	0.00138543	0.001337255	0.004401833	0.004801809
81	0.000646197	0.000622469	0.005438423	0.009327573
82	0.002082244	0.002465116	0.004082045	0.007945196
83	0.000736567	0.001221845	0.000716967	0.002090229
84	0.000294545	0.00047392	0.000716214	0.001869822
85	0.001378937	0.005274938	0.002075062	0.008195261
86	0.001065401	0.001050314	0.000490573	0.001334542
87	0.000684419	0.0007465	0.000392603	0.001114038
88	0.00767108	0.00631633	0.002058655	0.008379105
89	0.000887661	0.001155438	0.000550175	0.002266965
90	0.002922429	0.00377784	0.002591193	0.007767987
91	0.012741172	0.014805504	0.005981838	0.011078806
92	0.003727527	0.005717719	0.003479478	0.004532495
93	0.006857321	0.008498796	0.002448569	0.003735734
94	0.002782732	0.003162026	0.00257874	0.005033804
95	0.011679203	0.01086954	0.005491373	0.005165362
96	0.000718466	0.001692264	0.001372317	0.002803423
97	0.001444654	0.002803768	0.001549898	0.001666926
98	0.001249508	0.00280164	0.004887005	0.005224386
99	0.00330125	0.00548129	0.028557765	0.021426443
100	0.001185449	0.004443494	0.004344144	0.006916412
101	0.003989	0.007813068	0.007216653	0.009329201
102	0.007177636	0.014162599	0.01416566	0.02465774
103	0.002523656	0.006018438	0.007863843	0.013763828
104	0.007152918	0.016813511	0.020479161	0.043178776
105	0.005595097	0.011791033	0.0098234	0.022228413
106	0.004841264	0.008579689	0.005432773	0.013315327
107	0.006811048	0.012539994	0.007614249	0.020140246
108	0.02432001	0.023066782	0.013937594	0.02276571
109	0.005035727	0.009947686	0.043610086	0.077806874
110	0.008678468	0.011127781	0.018225446	0.035120619
111	0.004279523	0.007486341	0.003923815	0.008539233
112	0.010732819	0.009225862	0.002113161	0.005782365
113	0.006222334	0.006511131	0.002511191	0.004852863
114	0.001295688	0.001271685	0.00171548	0.003896754
115	0.004909252	0.007133817	0.00302497	0.007613642
116	0.007220648	0.009006364	0.004160465	0.011975719
117	0.001723382	0.002888341	0.003631615	0.005845467
118	0.012364236	0.010488591	0.003659386	0.0072679
119	0.015215514	0.010446729	0.005316971	0.011690982
120	0.002348952	0.002171564	0.001595612	0.002625938
121	0.008488569	0.006969575	0.003133802	0.006505255
122	0.01952458	0.013318558	0.005830155	0.010091806
123	0.003908041	0.003952111	0.042979968	0.05114778
124	0.009804961	0.013605245	0.019646213	0.026402043
125	0.000485974	0.000766965	0.01429832	0.023675249
126	0.013198367	0.013674203	0.003508732	0.00638298
127	0.0040639	0.00267248	0.001806186	0.003243226
128	0.003336487	0.00470468	0.001876185	0.004603127
129	0.003957223	0.004748864	0.0009742	0.004159176
130	0.003156613	0.003985721	0.00472509	0.006577991
131	0.003304142	0.004169892	0.003552814	0.005628772
132	0.001728183	0.001745433	0.000295937	0.001766388
133	0.011730732	0.010227104	0.001660529	0.003300237
134	0.003638789	0.003572562	0.001693147	0.002632724
135	0.003857008	0.004542981	0.002749257	0.005789892
136	0.00955653	0.00757673	0.002337861	0.006853444
137	0.002517131	0.002020484	0.003126864	0.004975086
138	0.011319675	0.007179637	0.002174465	0.002956499
139	0.006226865	0.003736679	0.001302148	0.002117178
140	0.013555012	0.010637867	0.002414723	0.00294046
141	0.039581577	0.032001493	0.007765946	0.005586354
142	0.005887415	0.003739158	0.010623103	0.008084788
143	0.082936737	0.059022238	0.022040453	0.014582305
144	0.001697984	0.001434581	0.004646958	0.001790587
145	0.029536737	0.03018165	0.004915983	0.004660438
146	0.003103757	0.002715742	0.001834286	0.001345923
147	0.008609114	0.002488208	0.001464663	0.001139245
148	0.003717023	0.003710749	0.00193906	0.003170128
149	0.003250179	0.005567403	0.003193137	0.003517915
150	0.00597268	0.010274399	0.015342	0.015602735
151	0.012523877	0.010503484	0.019433469	0.017217538
152	0.016559983	0.010185725	0.009870366	0.010915553
153	0.035293819	0.027061051	0.020262287	0.015918125
154	0.018305096	0.016968236	0.025323178	0.02054878
155	0.025533048	0.020396251	0.023716771	0.021563734
156	0.019799	0.019698012	0.015333074	0.022135079
157	0.006414531	0.007040585	0.003393645	0.004208453
158	0.002981088	0.002592465	0.001960666	0.002196152
159	0.044341638	0.025538886	0.007257691	0.004584925
160	0.00479954	0.003038046	0.002027263	0.000727877
161	0.153497405	0.102854581	0.016202347	0.012756869
162	0.002783299	0.00200364	0.001519399	0.001476135
163	0.006644492	0.001071926	0.002333429	0.002232206
164	0.000856176	0.003994666	0.002419644	0.001998979
165	0.018367177	0.001900974	0.001539886	0.00170197
166	0.004011766	0.003756137	0.002089768	0.002147729
167	0.002096487	0.001451287	0.001014795	0.000957619
168	0.001051007	0.002064291	0.002988086	0.001599249
169	0.013987743	0.013419563	0.024788093	0.018744945
170	0.001382275	0.001386532	0.033722383	0.044171379
171	0.005598199	0.006381481	0.012888622	0.015291894
172	0.00298711	0.006203043	0.002974193	0.007728115
173	0.005848265	0.004632371	0.002061436	0.002827801
174	0.006253344	0.00641076	0.002465948	0.002011353
175	0.017149347	0.014168204	0.003768964	0.003877099
176	0.006556872	0.006248523	0.005504998	0.004171723
177	0.005956095	0.004894475	0.007510257	0.00363951
178	0.001510577	0.002067898	0.004318469	0.002274102
179	0.003908167	0.004953753	0.006789153	0.006231789
180	0.001222999	0.001707087	0.001765487	0.003238515
181	0.004860443	0.004088369	0.003115114	0.005718785
182	0.002731613	0.005163837	0.003862311	0.00624875
183	0.020480966	0.014449804	0.007824003	0.012101637
184	0.007851114	0.006088839	0.002900361	0.007142581
185	0.068193923	0.045102404	0.00922392	0.009014605
186	0.00406994	0.002770377	0.001631539	0.002407925
187	0.054951961	0.044474509	0.007216924	0.009840592
188	0.010949094	0.007441182	0.006176599	0.009722606
189	0.012533369	0.005064084	0.003285796	0.006848413
190	0.033530419	0.024956212	0.003590355	0.003869498
191	0.00571233	0.00608772	0.001999671	0.004746564
192	0.001149015	0.002665324	0.002337212	0.004165369
193	0.000956685	0.002694632	0.001864575	0.003261326
194	0.001337722	0.00169494	0.001273434	0.003301896
195	0.003770827	0.005677762	0.003411299	0.006472323
196	0.001524003	0.00238303	0.002240166	0.004525916
197	0.000647655	0.001026656	0.000389877	0.001307
198	0.005722553	0.004452714	0.003419032	0.003700823
199	0.003060984	0.002584442	0.017823331	0.023986475
200	0.010217853	0.008585247	0.013849321	0.020806769
201	0.004212756	0.003808263	0.006797312	0.009161844
202	0.01871651	0.01195415	0.004252671	0.005876668
203	0.003140743	0.003569158	0.000726941	0.001922797
204	0.005160879	0.002923989	0.001586426	0.001535701
205	0.002429581	0.002459593	0.000656591	0.00065541
206	0.00641771	0.006455916	0.001130146	0.001069843
207	0.000360448	0.000801946	0.000429181	0.000670165
208	0.00140389	0.001288327	0.00137512	0.001720098
209	0.001402038	0.001703086	0.001529427	0.002018323
210	0.00183034	0.00170002	0.001637878	0.001919006
211	0.00189872	0.001316545	0.00094102	0.001393552
212	0.00150252	0.001729125	0.00091739	0.001217804
213	0.002249011	0.001519293	0.000759901	0.001641954
214	0.002706187	0.001964082	0.000692136	0.001214092
215	0.005913411	0.003228059	0.001403657	0.002798168
216	0.012389749	0.006886311	0.001755538	0.001647684
217	0.002200464	0.001463626	0.000665998	0.000783951
218	0.007285092	0.002952034	0.000886824	0.000861548
219	0.014001707	0.006971953	0.003375045	0.002764385
220	0.007884399	0.005524843	0.005296181	0.005048328
221	0.00156104	0.001571125	0.002463931	0.002262354
222	0.002302626	0.002600312	0.00375113	0.004026853
223	0.00145422	0.005304389	0.003172311	0.002768881
224	0.00273239	0.003402636	0.001979536	0.003005273
225	0.004200391	0.005354413	0.004084677	0.004273541
226	0.005249803	0.003762863	0.011663928	0.00935283
227	0.005753867	0.005239328	0.018615208	0.015336491
228	0.004735198	0.004114879	0.02481436	0.020691691
