nt	UM	MU
1	4.27E-21	3.75E-25
2	4.50E-28	5.14E-30
3	6.99E-25	2.03E-27
4	1.86E-41	2.12E-50
5	4.16E-13	1.31E-19
6	2.35E-05	4.76E-12
7	3.10E-08	8.43E-15
8	0.000870079	2.64E-09
9	1.00E-22	2.35E-33
10	3.27E-33	8.96E-41
11	1.37E-13	1.25E-11
12	3.41E-14	3.97E-22
13	0.023467358	1.57E-05
14	0.034965858	0.013301836
15	1.25E-20	1.90E-30
16	9.08E-25	1.10E-23
17	1.49E-28	3.87E-32
18	3.84E-62	1.24E-76
19	2.72E-69	6.67E-85
20	1.90E-110	2.90E-97
21	3.80E-27	4.76E-34
22	4.38E-47	9.10E-63
23	3.15E-81	9.37E-70
24	3.67E-56	5.21E-69
25	0.681787008	9.85E-05
26	3.41E-14	1.19E-38
27	3.83E-28	5.06E-43
28	1.47E-11	1.09E-25
29	1.28E-12	6.00E-24
30	0.530009006	0.020976496
31	0.000231504	9.87E-05
32	4.54E-22	9.02E-34
33	1.81E-32	9.92E-32
34	2.81E-89	5.76E-78
35	4.16E-69	7.68E-61
36	2.72E-57	1.07E-49
37	1.70E-12	5.98E-10
38	2.77E-21	2.37E-24
39	1.37E-09	1.03E-16
40	0.000111475	9.82E-05
41	8.96E-12	1.18E-18
42	2.39E-10	1.56E-05
43	7.58E-81	8.77E-94
44	7.73E-37	8.60E-57
45	1.48E-64	6.47E-62
46	1.02E-66	2.77E-67
47	1.31E-117	1.93E-114
48	4.10E-33	8.13E-40
49	4.89E-41	1.07E-64
50	0.407528906	3.89E-12
51	0.001938191	1.17E-23
52	1.68E-21	5.69E-58
53	6.02E-21	3.76E-25
54	4.84E-09	1.31E-34
55	5.38E-22	4.57E-31
56	1.53E-41	5.26E-64
57	2.22E-35	3.47E-68
58	7.58E-63	3.15E-99
59	4.66E-61	1.96E-82
60	1.66E-77	7.74E-96
61	0.172030589	0.000214511
62	0.003760742	4.63E-40
63	6.30E-25	1.33E-68
64	7.89E-65	2.86E-93
65	2.71E-24	6.39E-31
66	3.95E-13	3.83E-25
67	5.55E-17	2.64E-51
68	0.997962648	6.01E-33
69	0.104704179	9.15E-42
70	4.27E-06	1.73E-08
71	2.87E-08	2.01E-09
72	0.000120416	6.02E-09
73	0.999893281	8.74E-10
74	3.93E-16	1.13E-54
