nuc	deltaSHAPE
270	0
271	0
272	0
273	0
274	0.087173257
275	0.081639173
276	0.08647516
277	0
278	0
279	0
280	0
281	0.074435148
282	0.087849497
283	0.077915354
284	0.107110954
285	0.093368559
286	0.080102421
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0.065170656
298	0.090158802
299	0.079450905
300	0.110443172
301	0.142227409
302	0.146674358
303	0.125481555
304	0.105816864
305	0.114309904
306	0
307	0
308	0
309	0
310	-0.071578711
311	0
312	0
313	0.042166033
314	0.051185266
315	0.056939455
316	0.055951384
317	0.051342108
318	0.063229744
319	0.06402943
320	0.071188128
321	0.051934582
322	0.039145259
323	0
324	0.034152255
325	0.046008297
326	0.064704028
327	0.080221139
328	0.073544902
329	0.044863509
330	0.075354587
331	0.086424063
332	0.078376779
333	0
334	0
335	0
336	0.088564135
337	0.113439921
338	0.076593287
339	-0.000167493
340	-0.000270765
341	-0.034167868
342	-0.000143036
343	0
344	0
345	0
346	0
347	0
348	0
349	0.08020499
350	0.094513524
351	0.083720974
352	0.105418519
353	0.09176105
354	0.072718999
355	0
