"V1" "V2" "V3" "V4"
"1" NA NA NA NA
"2" 0.67 0.65 0.61 0.58
"3" 0.76 0.67 0.67 0.55
"4" 0.46 0.7 0.56 0.77
"5" 0.93 0.68 0.91 0.57
"6" 0.53 0.72 0.28 0.53
"7" 0.35 0.45 0.37 0.48
"8" 0.42 0.6 0.29 0.5
"9" 0.31 0.39 0.33 0.41
"10" 0.64 0.76 0.63 0.76
"11" 0.78 0.85 0.64 0.75
"12" 0.43 0.56 0.23 0.36
"13" 0.62 0.72 0.38 0.52
"14" 0.35 0.45 0.18 0.25
"15" 0.12 0.18 0.0679999999999999 0.11
"16" 0.72 0.83 0.44 0.66
"17" 0.72 0.75 0.36 0.41
"18" 0.71 0.79 0.54 0.68
"19" 0.93 0.91 0.94 0.92
"20" 0.95 0.85 0.98 0.93
"21" 0.96 0.94 0.97 0.97
"22" 0.75 0.77 0.63 0.67
"23" 0.96 0.73 0.95 0.67
"24" 0.94 0.91 0.91 0.85
"25" 0.92 0.84 0.95 0.89
"26" 0.014 0.0449999999999999 0.14 0.41
"27" 0.52 0.78 0.73 0.88
"28" 0.82 0.83 0.72 0.74
"29" 0.69 0.48 0.73 0.53
"30" 0.67 0.61 0.62 0.56
"31" 0.22 0.26 0.22 0.26
"32" 0.0349999999999999 0.0569999999999999 0.0579999999999999 0.092
"33" 0.7 0.83 0.55 0.75
"34" 0.79 0.71 0.67 0.53
"35" 0.97 0.95 0.9 0.83
"36" 0.94 0.92 0.81 0.75
"37" 0.9 0.91 0.66 0.69
"38" 0.39 0.64 0.094 0.23
"39" 0.75 0.77 0.33 0.37
"40" 0.73 0.66 0.29 0.22
"41" 0.082 0.073 0.015 0.014
"42" 0.67 0.65 0.42 0.41
"43" 0.47 0.17 0.32 0.099
"44" 0.97 0.98 0.92 0.93
"45" 0.92 0.87 0.84 0.77
"46" 0.94 0.82 0.92 0.77
"47" 0.9 0.8 0.95 0.9
"48" 0.98 0.94 0.99 0.98
"49" 0.92 0.93 0.83 0.86
"50" 0.93 0.87 0.91 0.83
"51" 0.19 0.49 0.26 0.61
"52" 0.62 0.25 0.81 0.51
"53" 0.89 0.78 0.92 0.83
"54" 0.79 0.69 0.49 0.34
"55" 0.81 0.84 0.5 0.57
"56" 0.7 0.82 0.44 0.66
"57" 0.87 0.91 0.87 0.9
"58" 0.91 0.91 0.89 0.9
"59" 0.98 0.96 0.97 0.93
"60" 0.95 0.91 0.96 0.92
"61" 0.96 0.92 0.98 0.96
"62" 0.2 0.41 0.11 0.25
"63" 0.82 0.76 0.76 0.69
"64" 0.92 0.89 0.92 0.88
"65" 0.96 0.94 0.97 0.95
"66" 0.69 0.76 0.56 0.68
"67" 0.79 0.76 0.36 0.32
"68" 0.87 0.82 0.85 0.78
"69" 0.78 0.6 0.73 0.52
"70" 0.84 0.79 0.78 0.72
"71" 0.0649999999999999 0.11 0.023 0.0419999999999999
"72" 0.0649999999999999 0.09 0.011 0.015
"73" 0.24 0.095 0.0439999999999999 0.017
"74" 0.63 0.2 0.18 0.0329999999999999
"75" 0.93 0.88 0.81 0.7
"76" 0.73 0.47 0.66 0.37
"77" 0.016 0.025 0.018 0.0289999999999999
"78" 0.00700000000000001 0.016 0.00800000000000001 0.019
"79" 0.0309999999999999 0.0559999999999999 0.0329999999999999 0.0599999999999999
"80" 0.0559999999999999 0.0549999999999999 0.0389999999999999 0.038
"81" 0.00600000000000001 0.00600000000000001 0.002 0.002
"82" 0.17 0.25 0.03 0.0489999999999999
"83" 0.59 0.82 0.0649999999999999 0.22
"84" 0.1 0.3 0.00900000000000001 0.03
"85" 0.3 0.91 0.011 0.27
"86" 0.88 0.88 0.42 0.41
"87" 0.83 0.85 0.24 0.3
"88" 0.95 0.92 0.52 0.39
"89" 0.78 0.85 0.11 0.2
"90" 0.63 0.72 0.15 0.23
"91" 0.8 0.83 0.64 0.7
"92" 0.6 0.74 0.48 0.67
"93" 0.84 0.87 0.78 0.82
"94" 0.6 0.65 0.31 0.37
"95" 0.79 0.77 0.82 0.8
"96" 0.32 0.65 0.1 0.35
"97" 0.55 0.75 0.51 0.75
"98" 0.13 0.36 0.09 0.3
"99" 0.0429999999999999 0.091 0.0449999999999999 0.1
"100" 0.14 0.58 0.0559999999999999 0.38
"101" 0.35 0.6 0.22 0.5
"102" 0.33 0.57 0.14 0.35
"103" 0.2 0.48 0.072 0.24
"104" 0.23 0.51 0.0629999999999999 0.21
"105" 0.38 0.64 0.11 0.31
"106" 0.53 0.71 0.19 0.39
"107" 0.54 0.72 0.17 0.37
"108" 0.73 0.72 0.6 0.58
"109" 0.0549999999999999 0.13 0.013 0.036
"110" 0.3 0.4 0.098 0.14
"111" 0.61 0.76 0.27 0.52
"112" 0.9 0.89 0.78 0.74
"113" 0.81 0.82 0.68 0.69
"114" 0.47 0.46 0.15 0.14
"115" 0.72 0.8 0.38 0.55
"116" 0.74 0.79 0.35 0.44
"117" 0.3 0.49 0.12 0.26
"118" 0.86 0.83 0.76 0.71
"119" 0.83 0.77 0.68 0.52
"120" 0.7 0.68 0.52 0.49
"121" 0.83 0.79 0.68 0.61
"122" 0.86 0.8 0.79 0.69
"123" 0.034 0.034 0.013 0.013
"124" 0.31 0.43 0.16 0.27
"125" 0.00900000000000001 0.016 0.002 0.003
"126" 0.88 0.88 0.81 0.82
"127" 0.8 0.71 0.67 0.48
"128" 0.75 0.82 0.42 0.58
"129" 0.89 0.91 0.55 0.64
"130" 0.42 0.51 0.24 0.33
"131" 0.55 0.64 0.32 0.43
"132" 0.92 0.93 0.56 0.57
"133" 0.94 0.93 0.91 0.89
"134" 0.79 0.79 0.71 0.7
"135" 0.69 0.73 0.38 0.45
"136" 0.89 0.86 0.71 0.62
"137" 0.49 0.4 0.25 0.18
"138" 0.92 0.87 0.92 0.85
"139" 0.91 0.85 0.88 0.78
"140" 0.92 0.9 0.94 0.91
"141" 0.92 0.9 0.97 0.95
"142" 0.33 0.19 0.42 0.22
"143" 0.89 0.84 0.95 0.93
"144" 0.19 0.15 0.55 0.46
"145" 0.94 0.94 0.96 0.96
"146" 0.75 0.71 0.85 0.82
"147" 0.93 0.75 0.97 0.84
"148" 0.78 0.78 0.65 0.65
"149" 0.58 0.75 0.54 0.75
"150" 0.22 0.41 0.16 0.37
"151" 0.4 0.32 0.42 0.33
"152" 0.74 0.59 0.74 0.54
"153" 0.75 0.68 0.84 0.78
"154" 0.44 0.41 0.52 0.48
"155" 0.6 0.51 0.66 0.55
"156" 0.67 0.67 0.52 0.52
"157" 0.78 0.8 0.75 0.78
"158" 0.72 0.68 0.71 0.66
"159" 0.94 0.89 0.98 0.96
"160" 0.82 0.72 0.97 0.93
"161" 0.97 0.95 0.99 0.98
"162" 0.78 0.69 0.81 0.71
"163" 0.86 0.24 0.9 0.21
"164" 0.16 0.75 0.17 0.82
"165" 0.98 0.66 0.99 0.63
"166" 0.79 0.77 0.81 0.79
"167" 0.8 0.71 0.84 0.75
"168" 0.16 0.41 0.35 0.7
"169" 0.32 0.3 0.42 0.4
"170" 0.00600000000000001 0.00600000000000001 0.002 0.002
"171" 0.22 0.26 0.12 0.16
"172" 0.58 0.81 0.13 0.45
"173" 0.87 0.82 0.84 0.78
"174" 0.85 0.85 0.91 0.91
"175" 0.93 0.91 0.95 0.93
"176" 0.65 0.63 0.77 0.75
"177" 0.46 0.38 0.78 0.71
"178" 0.15 0.25 0.35 0.52
"179" 0.32 0.43 0.32 0.45
"180" 0.4 0.56 0.13 0.24
"181" 0.74 0.69 0.48 0.39
"182" 0.41 0.7 0.17 0.47
"183" 0.86 0.79 0.79 0.67
"184" 0.86 0.81 0.63 0.49
"185" 0.96 0.94 0.98 0.96
"186" 0.85 0.77 0.79 0.65
"187" 0.97 0.95 0.97 0.95
"188" 0.78 0.66 0.64 0.42
"189" 0.92 0.74 0.81 0.4
"190" 0.98 0.96 0.98 0.97
"191" 0.88 0.89 0.67 0.7
"192" 0.24 0.64 0.0619999999999999 0.32
"193" 0.25 0.72 0.07 0.46
"194" 0.6 0.7 0.13 0.22
"195" 0.62 0.77 0.27 0.5
"196" 0.38 0.6 0.091 0.22
"197" 0.77 0.87 0.2 0.43
"198" 0.77 0.69 0.77 0.67
"199" 0.038 0.03 0.012 0.00900000000000001
"200" 0.42 0.34 0.19 0.13
"201" 0.33 0.29 0.17 0.14
"202" 0.94 0.88 0.93 0.85
"203" 0.94 0.94 0.79 0.82
"204" 0.9 0.79 0.93 0.83
"205" 0.92 0.92 0.94 0.94
"206" 0.96 0.95 0.97 0.97
"207" 0.48 0.8 0.22 0.67
"208" 0.58 0.54 0.45 0.4
"209" 0.53 0.63 0.35 0.47
"210" 0.63 0.59 0.55 0.5
"211" 0.82 0.72 0.73 0.54
"212" 0.77 0.8 0.69 0.74
"213" 0.89 0.81 0.73 0.53
"214" 0.93 0.88 0.87 0.79
"215" 0.93 0.85 0.86 0.66
"216" 0.97 0.93 0.98 0.95
"217" 0.91 0.84 0.91 0.83
"218" 0.98 0.91 0.99 0.93
"219" 0.93 0.82 0.97 0.89
"220" 0.74 0.6 0.78 0.63
"221" 0.33 0.34 0.35 0.35
"222" 0.32 0.39 0.24 0.31
"223" 0.2 0.77 0.21 0.83
"224" 0.72 0.78 0.52 0.65
"225" 0.59 0.7 0.56 0.7
"226" 0.19 0.11 0.23 0.12
"227" 0.097 0.084 0.1 0.085
"228" 0.0369999999999999 0.03 0.0329999999999999 0.025
"229" 0.49 0.5 0.48 0.49
"230" 0.65 0.69 0.58 0.64
"231" 0.76 0.84 0.3 0.52
"232" 0.83 0.88 0.78 0.85
"233" 0.72 0.85 0.77 0.89
"234" 0.43 0.65 0.47 0.71
"235" 0.77 0.64 0.78 0.63
"236" 0.43 0.71 0.55 0.8
"237" 0.8 0.88 0.77 0.87
"238" 0.46 0.78 0.1 0.42
"239" 0.65 0.72 0.21 0.3
"240" 0.52 0.76 0.2 0.51
"241" 0.93 0.9 0.89 0.84
"242" 0.88 0.89 0.81 0.83
"243" 0.94 0.92 0.95 0.94
"244" 0.8 0.81 0.79 0.8
