# chromosome	position	Xist_DMSO_1	Xist_DMSO_2	Xist_1M7_1	Xist_1M7_2
Xist	1	0	0	0	0
Xist	2	0	0	0	0
Xist	3	0	0	0	0
Xist	4	0	0	0	0
Xist	5	0	0	0	0
Xist	6	0	0	0	0
Xist	7	0	0	0	0
Xist	8	0	0	0	0
Xist	9	0	0	0	0
Xist	10	0	0	0	0
Xist	11	0	0	0	0
Xist	12	0	0	0	0
Xist	13	0	0	0	0
Xist	14	0	0	0	0
Xist	15	0	0	0	0
Xist	16	0	0	0	0
Xist	17	0	0	0	0
Xist	18	0	0	0	0
Xist	19	0	0	0	0
Xist	20	0	0	0	0
Xist	21	0	0	0	0
Xist	22	0	0	0	0
Xist	23	0	0	0	0
Xist	24	0	0	0	0
Xist	25	0	0	0	0
Xist	26	0	0	0	0
Xist	27	0	0	0	0
Xist	28	0	0	0	0
Xist	29	0	0	0	0
Xist	30	0	0	0	0
Xist	31	0	0	0	0
Xist	32	0	0	0	0
Xist	33	0	0	0	0
Xist	34	0	0	0	0
Xist	35	0	0	0	0
Xist	36	0	0	0	0
Xist	37	0	0	0	0
Xist	38	0	0	0	0
Xist	39	0	0	0	0
Xist	40	0	0	0	0
Xist	41	0	0	0	0
Xist	42	0	0	0	0
Xist	43	0	0	0	0
Xist	44	0	0	0	0
Xist	45	0	0	0	0
Xist	46	0	0	0	0
Xist	47	0	0	0	0
Xist	48	0	0	0	0
Xist	49	0	0	0	0
Xist	50	0	0	0	0
Xist	51	0	0	0	0
Xist	52	0	0	0	0
Xist	53	0	0	0	0
Xist	54	0	0	0	0
Xist	55	0	0	0	0
Xist	56	0	0	0	0
Xist	57	0	0	0	0
Xist	58	0	0	0	0
Xist	59	0	0	0	0
Xist	60	0	0	0	0
Xist	61	0	0	0	0
Xist	62	0	0	0	0
Xist	63	0	0	0	0
Xist	64	0	0	0	0
Xist	65	0	0	0	0
Xist	66	0	0	0	0
Xist	67	0	0	0	0
Xist	68	0	0	0	0
Xist	69	0	0	0	0
Xist	70	0	0	0	0
Xist	71	0	0	0	0
Xist	72	0	0	0	2
Xist	73	0	0	0	0
Xist	74	0	0	0	0
Xist	75	0	0	0	0
Xist	76	0	0	0	0
Xist	77	0	0	0	0
Xist	78	0	0	0	0
Xist	79	0	0	0	0
Xist	80	0	0	0	0
Xist	81	0	0	0	0
Xist	82	0	0	0	0
Xist	83	3	2	2	0
Xist	84	0	0	0	0
Xist	85	1	1	0	0
Xist	86	0	0	0	1
Xist	87	0	0	0	1
Xist	88	0	0	0	0
Xist	89	0	0	0	0
Xist	90	0	0	8	2
Xist	91	0	0	21	9
Xist	92	48	15	96	61
Xist	93	3	0	5	6
Xist	94	3	0	0	0
Xist	95	2	0	0	0
Xist	96	1	0	0	2
Xist	97	0	0	0	0
Xist	98	0	0	0	0
Xist	99	0	0	0	0
Xist	100	4	1	1	0
Xist	101	3	0	0	0
Xist	102	0	0	1	2
Xist	103	0	0	0	0
Xist	104	1	0	1	0
Xist	105	0	0	9	1
Xist	106	1	0	0	0
Xist	107	2	0	0	5
Xist	108	2	1	0	1
Xist	109	2	1	8	3
Xist	110	3	1	0	1
Xist	111	1	1	0	2
Xist	112	4	2	21	6
Xist	113	2	1	2	9
Xist	114	9	3	58	25
Xist	115	9	2	62	41
Xist	116	7	2	26	22
Xist	117	3	1	1	8
Xist	118	6	1	7	6
Xist	119	17	7	12	8
Xist	120	1	1	12	3
Xist	121	4	2	7	9
Xist	122	3	1	167	50
Xist	123	2	0	117	38
Xist	124	0	0	66	26
Xist	125	16	3	112	65
Xist	126	0	0	1	3
Xist	127	8	1	15	11
Xist	128	13	5	108	40
Xist	129	8	3	35	26
Xist	130	0	0	0	2
Xist	131	15	1	73	31
Xist	132	35	6	80	35
Xist	133	0	1	0	1
Xist	134	0	1	0	0
Xist	135	0	0	0	0
Xist	136	15	5	14	1
Xist	137	16	6	17	1
