# chromosome	position	Xist_DMSO_1	Xist_DMSO_2	Xist_1M7_1	Xist_1M7_2
Xist	1	0	0	0	0
Xist	2	0	0	0	0
Xist	3	0	0	0	0
Xist	4	0	0	0	0
Xist	5	0	0	0	0
Xist	6	0	0	0	0
Xist	7	0	0	0	0
Xist	8	0	0	0	0
Xist	9	0	0	0	0
Xist	10	0	0	0	0
Xist	11	0	0	0	0
Xist	12	0	0	0	0
Xist	13	0	0	0	0
Xist	14	0	0	0	0
Xist	15	0	0	0	0
Xist	16	0	0	0	0
Xist	17	0	0	0	0
Xist	18	0	0	0	0
Xist	19	0	0	0	0
Xist	20	0	0	0	0
Xist	21	0	0	0	0
Xist	22	0	0	0	0
Xist	23	0	0	0	0
Xist	24	0	0	0	0
Xist	25	0	0	0	0
Xist	26	0	0	0	0
Xist	27	0	0	0	0
Xist	28	0	0	0	0
Xist	29	0	0	0	0
Xist	30	0	0	0	0
Xist	31	0	0	0	0
Xist	32	0	0	0	0
Xist	33	0	0	0	0
Xist	34	0	0	0	0
Xist	35	0	0	0	0
Xist	36	0	0	0	0
Xist	37	0	0	0	0
Xist	38	0	0	0	0
Xist	39	0	0	0	0
Xist	40	0	0	0	0
Xist	41	0	0	0	0
Xist	42	0	0	0	0
Xist	43	0	0	0	0
Xist	44	0	0	0	0
Xist	45	0	0	0	0
Xist	46	0	0	0	0
Xist	47	0	0	0	0
Xist	48	0	0	0	0
Xist	49	0	0	0	0
Xist	50	0	0	0	0
Xist	51	0	0	0	0
Xist	52	0	0	0	0
Xist	53	0	0	0	0
Xist	54	0	0	0	0
Xist	55	0	0	0	0
Xist	56	0	0	0	0
Xist	57	0	0	0	0
Xist	58	0	0	0	0
Xist	59	6	5	3	1
Xist	60	6	5	3	1
Xist	61	0	0	0	0
Xist	62	1	0	0	0
Xist	63	1	0	0	0
Xist	64	0	0	0	0
Xist	65	22	10	8	3
Xist	66	0	0	0	0
Xist	67	22	10	8	3
Xist	68	23	11	8	3
Xist	69	3	0	0	0
Xist	70	25	11	9	4
Xist	71	4	0	0	0
Xist	72	0	3	0	0
Xist	73	4	1	0	2
Xist	74	5	2	4	2
Xist	75	10	2	3	0
Xist	76	8	5	3	1
Xist	77	4	12	4	2
Xist	78	5	2	2	3
Xist	79	16	3	9	2
Xist	80	18	6	11	4
Xist	81	16	12	3	2
Xist	82	15	3	7	3
Xist	83	26	4	9	4
Xist	84	7	5	3	0
Xist	85	8	6	2	3
Xist	86	7	3	9	4
Xist	87	24	6	6	1
Xist	88	31	23	18	8
Xist	89	21	8	18	8
Xist	90	7	8	4	5
Xist	91	10	16	4	16
Xist	92	6	6	2	1
Xist	93	23	11	15	3
Xist	94	24	17	14	8
Xist	95	38	14	14	5
Xist	96	35	14	13	13
Xist	97	37	17	14	2
Xist	98	67	39	31	16
Xist	99	77	36	37	27
Xist	100	34	11	10	7
Xist	101	17	11	7	7
Xist	102	107	36	31	32
Xist	103	13	65	1	19
Xist	104	26	15	13	7
Xist	105	76	35	37	18
Xist	106	25	6	8	4
Xist	107	19	21	16	3
Xist	108	24	29	5	7
Xist	109	22	14	13	9
Xist	110	82	17	26	13
Xist	111	56	25	21	7
Xist	112	51	24	18	7
Xist	113	35	12	52	29
Xist	114	22	11	31	14
Xist	115	60	56	53	35
Xist	116	15	15	18	18
Xist	117	49	30	26	12
Xist	118	75	45	38	21
Xist	119	85	39	41	12
Xist	120	38	17	29	10
Xist	121	16	5	21	10
Xist	122	65	60	67	36
Xist	123	48	27	17	12
Xist	124	19	8	32	17
Xist	125	19	9	19	15
Xist	126	86	18	71	28
Xist	127	33	33	60	19
Xist	128	92	23	80	29
Xist	129	73	22	39	7
Xist	130	64	26	81	44
Xist	131	40	14	25	5
Xist	132	106	48	53	16
Xist	133	21	15	16	6
Xist	134	35	39	18	13
Xist	135	57	23	13	10
Xist	136	61	34	22	10
Xist	137	78	44	19	20
