	Chromosome	Start	End	Feature	deltaSHAPE	deltaSHAPE_rep1	average
0	mm10_XIST	247	248	deltaSHAPE	1.30730383966	1.3989044408700002	1.3531041402650001
1	mm10_XIST	315	316	deltaSHAPE	1.7479894869400001	1.9865792837	1.86728438532
2	mm10_XIST	316	317	deltaSHAPE	1.68550794395	1.7073763606099999	1.69644215228
3	mm10_XIST	317	318	deltaSHAPE	1.2801430039200001	1.4232751040399998	1.35170905398
4	mm10_XIST	4700	4701	deltaSHAPE	-1.37364714817	2.334899926	0.48062638891499987
5	mm10_XIST	4701	4702	deltaSHAPE	-1.4131867016600002	2.26742007572	0.42711668702999994
6	mm10_XIST	4702	4703	deltaSHAPE	-1.0461719642799998	1.43433438003	0.19408120787500005
7	mm10_XIST	4754	4755	deltaSHAPE	2.5619676870599997	1.4171648429600001	1.98956626501
8	mm10_XIST	4755	4756	deltaSHAPE	2.48206612401	1.56969277981	2.02587945191
9	mm10_XIST	4756	4757	deltaSHAPE	1.58395801313	1.1224423335299998	1.3532001733299999
10	mm10_XIST	4788	4789	deltaSHAPE	1.6115917732	-2.9105420872799996	-0.6494751570399998
11	mm10_XIST	4789	4790	deltaSHAPE	1.7615414029099998	-2.55221990751	-0.3953392523000001
12	mm10_XIST	4791	4792	deltaSHAPE	-1.4739819912099998	1.45983527572	-0.007073357744999953
13	mm10_XIST	4792	4793	deltaSHAPE	-1.8166362802900002	1.17294002523	-0.32184812753000014
14	mm10_XIST	4875	4876	deltaSHAPE	-1.00995028207	1.09280409049	0.04142690421000006
15	mm10_XIST	4876	4877	deltaSHAPE	-0.894332547708	1.05824817803	0.08195781516099998
16	mm10_XIST	4878	4879	deltaSHAPE	1.72896473818	1.22915727106	1.4790610046200001
17	mm10_XIST	5062	5063	deltaSHAPE	-1.7619186986000002	1.13831854693	-0.31180007583500013
18	mm10_XIST	5063	5064	deltaSHAPE	-1.30110985536	1.36328174866	0.031085946649999974
19	mm10_XIST	5092	5093	deltaSHAPE	-1.82404662942	1.07501953232	-0.37451354854999996
20	mm10_XIST	5094	5095	deltaSHAPE	-2.59828673053	-7.5746533531199995	-5.086470041825
