Start	Stop	pval	FDR
68	81	0.00874806859188387	0.130127520304273
298	306	0.01953125	0.145263671875
390	397	0.015625	0.145263671875
463	493	2.41510570049286e-05	0.00251059038548201
702	719	0.000615069777686587	0.018298325886176
767	778	0.021157637452857	0.145263671875
993	1004	0.0390625	0.145263671875
1176	1185	0.0390625	0.145263671875
1301	1320	0.0210651793553136	0.145263671875
1339	1349	0.0293537042156025	0.145263671875
1385	1398	0.0340576171875	0.145263671875
1411	1421	0.0259564824675091	0.145263671875
1963	1983	0.00292038169449024	0.0603767397958547
2187	2195	0.0295860339129297	0.145263671875
2311	2320	0.0185546875	0.145263671875
2443	2463	0.000107046012923009	0.00424615851261269
2872	2881	0.02734375	0.145263671875
2920	2935	0.0286865234375	0.145263671875
2943	2968	0.0348168748874686	0.145263671875
3555	3563	0.015625	0.145263671875
3645	3659	0.007537841796875	0.128143310546875
3670	3677	0.02734375	0.145263671875
3868	3876	0.0379634814912788	0.145263671875
4636	4650	0.0103291886206195	0.13657482731708
4795	4804	0.0322265625	0.145263671875
4991	5017	0.00304420536785822	0.0603767397958547
5232	5277	4.21947963946556e-05	0.00251059038548201
5435	5443	0.037109375	0.145263671875
5505	5513	0.01953125	0.145263671875
5540	5549	0.0390625	0.145263671875
5577	5586	0.0295860339129297	0.145263671875
6357	6366	0.0322265625	0.145263671875
