# chromosome	position	Xist_DMSO_1	Xist_DMSO_2	Xist_1M7_1	Xist_1M7_2
Xist	1	0	0	0	0
Xist	2	0	0	0	0
Xist	3	0	0	0	0
Xist	4	0	0	0	0
Xist	5	0	0	0	0
Xist	6	0	0	0	0
Xist	7	0	0	0	0
Xist	8	0	0	0	0
Xist	9	0	0	0	0
Xist	10	0	0	0	0
Xist	11	0	0	0	0
Xist	12	0	0	0	0
Xist	13	0	0	0	0
Xist	14	0	0	0	0
Xist	15	0	0	0	0
Xist	16	0	0	0	0
Xist	17	0	0	0	0
Xist	18	0	0	0	0
Xist	19	0	0	0	0
Xist	20	0	0	0	0
Xist	21	0	0	0	0
Xist	22	0	0	0	0
Xist	23	0	0	0	0
Xist	24	0	0	0	0
Xist	25	0	0	0	0
Xist	26	0	0	0	0
Xist	27	0	0	0	0
Xist	28	0	0	0	0
Xist	29	0	0	0	0
Xist	30	0	0	0	0
Xist	31	0	0	0	0
Xist	32	0	0	0	0
Xist	33	0	0	0	0
Xist	34	0	0	0	0
Xist	35	0	0	0	0
Xist	36	0	0	0	0
Xist	37	0	0	0	0
Xist	38	0	0	0	0
Xist	39	0	0	0	0
Xist	40	0	0	0	0
Xist	41	0	0	0	0
Xist	42	0	0	0	0
Xist	43	0	0	0	0
Xist	44	0	0	0	0
Xist	45	0	0	0	0
Xist	46	0	0	0	0
Xist	47	0	0	0	0
Xist	48	0	0	0	0
Xist	49	0	0	0	0
Xist	50	0	0	0	0
Xist	51	0	0	0	0
Xist	52	0	0	0	0
Xist	53	0	0	0	0
Xist	54	0	0	0	0
Xist	55	0	0	0	0
Xist	56	0	0	0	0
Xist	57	0	0	0	0
Xist	58	0	0	0	0
Xist	59	0	0	0	0
Xist	60	0	0	0	0
Xist	61	0	0	0	0
Xist	62	0	0	0	0
Xist	63	0	0	0	0
Xist	64	0	0	0	0
Xist	65	0	0	0	0
Xist	66	0	0	0	0
Xist	67	0	0	0	0
Xist	68	0	0	0	0
Xist	69	0	0	0	0
Xist	70	0	0	0	0
Xist	71	0	0	0	0
Xist	72	0	0	0	0
Xist	73	0	0	0	0
Xist	74	0	0	0	0
Xist	75	0	0	0	0
Xist	76	0	0	0	0
Xist	77	0	0	0	0
Xist	78	0	0	0	0
Xist	79	0	0	0	0
Xist	80	0	0	0	0
Xist	81	0	0	0	0
Xist	82	0	0	0	0
Xist	83	4	0	1	3
Xist	84	1	0	0	0
Xist	85	0	0	0	0
Xist	86	0	0	0	0
Xist	87	1	0	0	0
Xist	88	1	0	0	0
Xist	89	0	0	0	0
Xist	90	0	0	0	0
Xist	91	0	1	1	0
Xist	92	31	11	23	6
Xist	93	0	0	1	1
Xist	94	0	0	1	1
Xist	95	0	0	0	0
Xist	96	1	1	1	0
Xist	97	0	0	0	0
Xist	98	0	0	0	0
Xist	99	0	0	0	0
Xist	100	1	0	1	0
Xist	101	2	0	0	0
Xist	102	0	0	2	2
Xist	103	0	0	0	0
Xist	104	0	1	0	0
Xist	105	0	0	0	1
Xist	106	0	0	0	0
Xist	107	1	0	0	0
Xist	108	0	1	0	0
Xist	109	3	1	1	0
Xist	110	5	1	0	0
Xist	111	0	1	1	0
Xist	112	0	4	5	0
Xist	113	4	1	2	0
Xist	114	10	3	14	5
Xist	115	4	1	20	12
Xist	116	2	1	9	11
Xist	117	0	3	0	0
Xist	118	1	7	0	2
Xist	119	7	5	3	0
Xist	120	0	2	1	0
Xist	121	4	0	3	0
Xist	122	4	2	30	15
Xist	123	4	2	18	11
Xist	124	2	0	14	2
Xist	125	11	1	24	8
Xist	126	0	0	0	1
Xist	127	7	0	13	1
Xist	128	18	0	41	18
Xist	129	12	0	21	8
Xist	130	0	0	5	4
Xist	131	3	0	55	20
Xist	132	27	0	64	21
Xist	133	2	0	3	3
Xist	134	0	0	2	3
Xist	135	0	0	2	0
Xist	136	11	6	18	4
Xist	137	11	7	16	3
