Start	Stop	pval	FDR
234	266	0.000628616771707434	0.0658583479623001
1026	1103	1.12937344897033e-05	0.0069230592421881
1114	1132	0.00101089477539062	0.0774598121643066
5235	5268	0.000948015603225867	0.0774598121643066
9879	9930	0.000430589144296562	0.0658583479623001
10104	10132	0.000644616782665254	0.0658583479623001
10400	10440	0.000425694932597812	0.0658583479623001
10467	10517	0.00170574935999188	0.0950567597886384
10557	10597	0.00147468313388017	0.0903980761068544
16082	16107	5.96187922411334e-05	0.0182731598219074
17228	17269	0.00120183313484764	0.0818581901846227
