UU	UM	MU	MM
1	0.999999999487347	5.31026476319638e-14	5.12599532291492e-10	2.72203923535392e-23
2	0.994480014857066	0.00275482011327515	0.00275752637527825	7.63865438019392e-06
3	1	7.42334099731089e-30	1.85253898425985e-23	1.37520285909728e-52
4	0.981318987590628	0.00929647466635243	0.00929646813305736	8.80696099621112e-05
5	0.970305576590498	0.0147353319446738	0.0147353168211413	0.000223774643687417
6	0.966670009167553	0.0165237839520059	0.016523757852092	0.000282449028348726
7	0.970305552336997	0.0147353561977858	0.0147353164532099	0.000223775012007485
8	0.981318938390132	0.00929652386606497	0.00929646766774334	8.80700760601425e-05
9	0.999999999999452	5.47983417131564e-13	3.06123356301102e-22	1.67750522849753e-34
10	1	3.22783996065287e-54	2.02982157673692e-36	6.55193919838686e-90
11	1	1.61620947539732e-30	9.66998454496827e-35	1.56287206485234e-64
12	1	2.03633621323201e-48	4.94827783572018e-30	1.00763573500103e-77
13	1	4.90300079343132e-28	1.92146483680089e-26	9.42094361938514e-54
14	1	2.49452662795657e-28	2.73249487147276e-43	6.81628121764357e-71
15	0.999999999999999	6.16760082274244e-23	1.1427946529642e-15	7.04830124184767e-38
16	1	3.1481822735795e-63	2.79310968677554e-35	8.79321840406993e-98
17	1	6.43040767893399e-63	1.07659307125817e-42	6.92293235250568e-105
18	1	2.16684482805449e-53	1.17415483681247e-27	2.54421133548227e-80
19	1	3.95805646804072e-58	1.10693060919313e-48	4.38129385738913e-106
20	1	4.82457529549519e-45	2.63354141883239e-32	1.27057188689621e-76
21	1	1.30532044578646e-52	5.91717188555869e-30	7.72380544345257e-82
22	1	4.58120815629233e-42	6.67710615596569e-18	3.05892131821397e-59
23	1	1.61079987906832e-27	1.57305210217703e-20	2.53387213595493e-47
24	0.999999870610506	2.27977439982979e-14	1.29389470697034e-07	2.94978841069787e-21
25	1	2.77009070908513e-17	3.13776698777454e-16	8.6918991801083e-33
26	0.999999999999999	5.25453804065511e-16	2.08276179681016e-30	1.09439510909622e-45
27	1	8.92514482233551e-19	3.72556261278013e-18	3.32511858637414e-36
28	1	5.04779941607924e-30	2.53991802412553e-16	1.282099671907e-45
29	1	1.09120324323791e-22	7.85520908575517e-42	8.57162963068796e-64
30	1	1.56416886850798e-20	6.77053055074306e-39	1.05902531107545e-58
31	1	1.08992820368408e-48	4.07537192494865e-18	4.44186280150383e-66
32	1	2.0316040930102e-41	2.34822239027785e-30	4.77065821938666e-71
33	1	1.43826594642267e-58	6.92159769699296e-43	9.95509826242253e-101
34	1	7.67927250263092e-29	1.35757377814217e-22	1.04251789847799e-50
35	0.999999999654982	2.59042571421495e-17	3.45018026648811e-10	8.93743568407136e-27
36	0.999999999347627	2.65300305005101e-10	3.87073166103063e-10	1.02690629093426e-19
37	0.999610449250856	9.26902437078641e-05	0.000296832981193066	2.75242434569754e-08
38	0.999999994547219	2.92086661360351e-20	5.45278075338781e-09	1.59268453407159e-28
39	1	8.98135296191048e-37	8.92476337892079e-33	8.01564500076205e-69
40	1	3.38119096741699e-48	6.2738814263266e-32	2.12131912093407e-79
41	1	1.21967031574829e-36	8.92718075665651e-34	1.08882173722133e-69
42	1	1.85103881654292e-25	1.5803620881529e-22	2.92531156936383e-47
43	1	7.76767159613631e-41	1.34525001171641e-42	1.04494603057116e-82
44	0.999773405662366	0.000226590244351357	4.0923550057357e-09	9.27497886491399e-13
45	1	3.19238868083713e-48	2.48008946886688e-36	7.917409547874e-84
46	0.999999943457112	2.72364984994543e-08	2.93063885727338e-08	7.98203453518415e-16
47	0.999915610843345	8.20544652532164e-05	2.33449982899534e-06	1.91572301726918e-10
48	1	8.67428390171671e-26	9.77777330275808e-21	8.48151815547498e-46
